업소명,소재지(도로명),소재지(지번),소재지전화
큰맘할매순대국밥,"충청남도 천안시 동남구 문암로 69, 1층 (안서동)",충청남도 천안시 동남구 안서동 386 1층 , 041- 562-2244
속시원한대구탕,"충청남도 천안시 동남구 서부대로 131, 1층 (신방동)",충청남도 천안시 동남구 신방동 415-6 외 2필지 1층 ,
홍성한우곱창,"충청남도 천안시 동남구 풍세로 769-33, 1층 (신방동)",충청남도 천안시 동남구 신방동 193 , 041- 579-7575
집밥돈선생,"충청남도 천안시 동남구 문화로 3, 1층 (대흥동)",충청남도 천안시 동남구 대흥동 6-3 외 3필지 1층 , 041- 552-5289
수해복마라탕,"충청남도 천안시 동남구 문암로 69, 1층 (안서동)",충청남도 천안시 동남구 안서동 386 외 3필지 1층 , 041- 568-6300
살렘브로,"충청남도 천안시 동남구 터미널4길 10, 1층 (신부동)",충청남도 천안시 동남구 신부동 799 1층 ,
기업한식부페,"충청남도 천안시 동남구 수신면 5산단4로 162-47, 1층",충청남도 천안시 동남구 수신면 신풍리 609 1층 , 041- 563-0533
도리돈밥,"충청남도 천안시 동남구 문암로 69, 1층 (안서동)",충청남도 천안시 동남구 안서동 386 외 3필지 1층 ,
쎄임쎄임벗디퍼런트,"충청남도 천안시 동남구 통정10로 33-15, 1층 (신방동)",충청남도 천안시 동남구 신방동 1522 1층 ,
코구멍홍탁,"충청남도 천안시 동남구 원성천1길 31, 1층 (영성동)",충청남도 천안시 동남구 영성동 135-15 1층 ,041 -565 -9944
치킨플러스천안청당점,"충청남도 천안시 동남구 청수10길 4-65, 1층 (청당동)",충청남도 천안시 동남구 청당동 872 1층 ,
모아치킨,"충청남도 천안시 동남구 신촌4로 23-9, 1층 (신방동)",충청남도 천안시 동남구 신방동 74-51 1층 ,041 -577 -2292
불돈,"충청남도 천안시 동남구 문암로 69, 1층 (안서동)",충청남도 천안시 동남구 안서동 386 외 3필지 1층 , 041- 552-0949
만명궁,"충청남도 천안시 동남구 북면 충절로 1299, 1동 1층",충청남도 천안시 동남구 북면 연춘리 191-1 1동 1층 , 041- 555-1010
카페더다움,"충청남도 천안시 동남구 충절로 196, 2층 (원성동)",충청남도 천안시 동남구 원성동 559-20 외 1필지 2층 , 041- 562-6761
베네치아앤꽃피다,"충청남도 천안시 동남구 청수7로 6-28, 1층 (청당동)",충청남도 천안시 동남구 청당동 812 1층 , 041- 565-0063
탕화쿵푸마라탕,"충청남도 천안시 동남구 먹거리8길 21, 1층 (신부동)",충청남도 천안시 동남구 신부동 458-13 1층 ,041 -558 -8852
하루플라워카페,"충청남도 천안시 동남구 중앙로 28, 1~2층 (영성동)",충청남도 천안시 동남구 영성동 135-14 1~2층 ,041 -567 -7836
써니숯불김밥,"충청남도 천안시 동남구 병천면 가전6길 13, 1층",충청남도 천안시 동남구 병천면 가전리 206-3 1층 , 041- 554-8951
못말리는파닭안서점,"충청남도 천안시 동남구 안서1길 6, 1층 (안서동)",충청남도 천안시 동남구 안서동 241-20 1층 , 041- 555-4522
칠보면옥,"충청남도 천안시 동남구 만남로 43, 본관1동 6층 (신부동)",충청남도 천안시 동남구 신부동 354-1 외 62필지 본관1동 6층 ,
정원치킨앤쿡,"충청남도 천안시 동남구 청수12로 40, 1층 (삼룡동)",충청남도 천안시 동남구 삼룡동 454 1층 , 041- 621-3392
단골술집,"충청남도 천안시 동남구 통정10로 33-14, 1층 (신방동)",충청남도 천안시 동남구 신방동 1534 1층 ,041 -575 -8575
천안선지해장국,"충청남도 천안시 동남구 풍세면 풍세산단로 18-9, 1층",충청남도 천안시 동남구 풍세면 보성리 580-13 1층 , 041- 563-0027
맛을담다,"충청남도 천안시 동남구 광풍로 1677, 1층 (구룡동)",충청남도 천안시 동남구 구룡동 479-13 1층 , 041- 565-4200
임가네,"충청남도 천안시 동남구 신촌3길 15, 2동 1층 (신방동)",충청남도 천안시 동남구 신방동 785-30 외 1필지 2동 1층 , 041- 577-3113
또리치킨,"충청남도 천안시 동남구 새말4길 5, 1동 1층 107호 (신방동, 신동아목련상가)",충청남도 천안시 동남구 신방동 869 외 1필지 신동아목련상가 제1동 1층 107호 , 041- 573-9285
향촌흑염소가든,"충청남도 천안시 동남구 태조산길 99-7, 1층 (유량동)",충청남도 천안시 동남구 유량동 250-1 외 2필지 1층 , 041- 567-1180
(주)엠에프지코리아매드포갈릭신세계백화점아라리오점,"충청남도 천안시 동남구 만남로 43, 본관1동 6층 (신부동)",충청남도 천안시 동남구 신부동 354-1 외 62필지 본관1동 6층 ,041 -640 -5507
플로리안,"충청남도 천안시 동남구 풍세로 798, 1층 103호 (청당동)",충청남도 천안시 동남구 청당동 396-12 ,
쟁반통닭다가점,"충청남도 천안시 동남구 다가말2길 54, 상가동 1층 109,110호 (다가동, 일봉공원한화꿈에그린아파트)","충청남도 천안시 동남구 다가동 444-3 일봉공원한화꿈에그린아파트 상가동 1층 109,110호 ",041 -577 -0678
홍희통닭,"충청남도 천안시 동남구 통정3로 77, 401동 103호 (신방동, 천안하나리움아인스파크)",충청남도 천안시 동남구 신방동 1066 천안하나리움아인스파크 401동 103호 ,
깨돌이김밥,"충청남도 천안시 동남구 각원사길 52, 1층 (안서동)",충청남도 천안시 동남구 안서동 534-29 외 1필지 1층 , 041- 622-7277
뚝배기,"충청남도 천안시 동남구 중앙로 164, 1층 (성황동)",충청남도 천안시 동남구 성황동 96-1 1층 ,
다운언더,"충청남도 천안시 동남구 만남로 13, 지하1층 (신부동)",충청남도 천안시 동남구 신부동 363-13 외 1필지 지하1층 ,
전원식당,"충청남도 천안시 동남구 공설시장1길 7-1, 1층 (대흥동)",충청남도 천안시 동남구 대흥동 62-5 ,
더엑스엑스,"충청남도 천안시 동남구 청수10길 4-54, 1층 (청당동)",충청남도 천안시 동남구 청당동 934 1층 ,
핵스테이크천안점,"충청남도 천안시 동남구 만남로 43, 본관2동 6층 (신부동)",충청남도 천안시 동남구 신부동 354-1 외 61필지 본관2동 6층 ,
예산한우정육식당,"충청남도 천안시 동남구 용곡1길 88, 1층 (용곡동)",충청남도 천안시 동남구 용곡동 337-6 1층 , 041- 592-3300
죽이야기청수행정타운점,"충청남도 천안시 동남구 청수14로 56, 1층 108호 (청당동)",충청남도 천안시 동남구 청당동 490 1층 108호 ,
수,"충청남도 천안시 동남구 수곡1길 12-10, 4층 (신방동)",충청남도 천안시 동남구 신방동 54-4 외 1필지 4층 ,041 -579 -3128
맘스터치천안목천점,"충청남도 천안시 동남구 목천읍 충절로 901-1, 1층",충청남도 천안시 동남구 목천읍 신계리 166-54 외 2필지 1층 ,041 -555 -9242
강남교자,"충청남도 천안시 동남구 서부대로 531-7, 1층 (봉명동)",충청남도 천안시 동남구 봉명동 131 외 1필지 1층 , 041- 578-7788
방산회관,"충청남도 천안시 동남구 통정12로 20, 1층 (신방동)",충청남도 천안시 동남구 신방동 1059 1층 , 041- 578-5382
풍경별관,"충청남도 천안시 동남구 배울1길 35, 2동 1층 (구룡동)",충청남도 천안시 동남구 구룡동 578-20 2동 1층 ,
아름다운관광농원화수목,"충청남도 천안시 동남구 목천읍 교천지산길 175, 1동 1,2층","충청남도 천안시 동남구 목천읍 교천리 211-1 1동 1,2층 ", 041- 585-4200
주객전도,"충청남도 천안시 동남구 먹거리9길 29, 2층 (신부동)",충청남도 천안시 동남구 신부동 464-7 2층 , 070-4001-5689
마실,"충청남도 천안시 동남구 통정5로 108, 2층 (신방동)",충청남도 천안시 동남구 신방동 1591 2층 ,
피자마루안서점,"충청남도 천안시 동남구 문암로 63, 1층 (안서동)",충청남도 천안시 동남구 안서동 371-21 1층 ,041 -522 -1082
신방동공주칼국수,"충청남도 천안시 동남구 신촌3길 15, 2동 1층 (신방동)",충청남도 천안시 동남구 신방동 785-30 2동 1층 , 041- 592-3388
박군치킨,"충청남도 천안시 동남구 풍세로 933, 상가동 1층 111호 (다가동, 주공아파트4단지)",충청남도 천안시 동남구 다가동 30 주공아파트4단지 상가동 1층 111호 ,
나인로드피제리아,"충청남도 천안시 동남구 신촌1길 23, 1층 (신방동)",충청남도 천안시 동남구 신방동 784-9 1층 ,
가마솥흑염소전문점,"충청남도 천안시 동남구 수신면 수신로 722, 1동 1층",충청남도 천안시 동남구 수신면 장산리 492-1 외 1필지 1동 1층 , 041- 555-6770
또래오래천안상명대점,"충청남도 천안시 동남구 안서1길 5-19, 1층 (안서동)",충청남도 천안시 동남구 안서동 235 외 1필지 1층 ,
꽃처럼,"충청남도 천안시 동남구 명동길 57, 2동 1층 (대흥동)",충청남도 천안시 동남구 대흥동 89-1 ,
더테이블,"충청남도 천안시 동남구 중앙로 211, 1층 (신부동)",충청남도 천안시 동남구 신부동 371-29 ,
지나의배달킹,"충청남도 천안시 동남구 청당2길 119, 1층 (청당동)",충청남도 천안시 동남구 청당동 143-12 1층 ,041 -556 -5552
성자네빈대떡,"충청남도 천안시 동남구 큰시장길 19-3, 1층 (사직동)",충청남도 천안시 동남구 사직동 144 1층 ,
돌돌이생고기,"충청남도 천안시 동남구 용곡5길 21, 1층 (용곡동)",충청남도 천안시 동남구 용곡동 231-7 1층 ,
천안장어가,"충청남도 천안시 동남구 풍세면 영성2길 3, 1층",충청남도 천안시 동남구 풍세면 보성리 392-3 1층 ,
컬투치킨백석대점,"충청남도 천안시 동남구 문암4길 10-13, 1층 (안서동)",충청남도 천안시 동남구 안서동 379-26 1층 ,
24시명가생고기김치찌개,"충청남도 천안시 동남구 청수15길 35-31, 1층 (청수동)",충청남도 천안시 동남구 청수동 351 1층 ,
신방수산시장,"충청남도 천안시 동남구 통정12로 18, 1층 (신방동)",충청남도 천안시 동남구 신방동 1058 1층 ,
무슬림레스토랑,"충청남도 천안시 동남구 수선정길 9, 1층 (사직동)",충청남도 천안시 동남구 사직동 2-7 외 1필지 1층 , 041- 551-2960
얼큰손칼국수,"충청남도 천안시 동남구 통정1로 20-5, 1층 (신방동)",충청남도 천안시 동남구 신방동 1171 1층 ,
톡톡커피,"충청남도 천안시 동남구 통정8로 61, 1층 (신방동)",충청남도 천안시 동남구 신방동 1935 1층 ,041 -579 -1935
봉명가,"충청남도 천안시 동남구 봉정로 68, 1층 (봉명동)",충청남도 천안시 동남구 봉명동 50-5 ,
굽네치킨용곡점,"충청남도 천안시 동남구 새말1길 47, 상가동 1층 105호 (용곡동, 용곡더쉴아파트)",충청남도 천안시 동남구 용곡동 482-16 외 1필지 용곡더쉴아파트 상가동 1층 105호 , 041- 592-8292
육수당천안청당점,"충청남도 천안시 동남구 청수6로 35-42, 1층 (청당동)",충청남도 천안시 동남구 청당동 582 1층 ,041 -562 -5599
가장맛있는족발,"충청남도 천안시 동남구 터미널8길 17, 1층 (신부동)",충청남도 천안시 동남구 신부동 649 1층 ,041 -561 -5849
육교식당,"충청남도 천안시 동남구 옛시청길 18, 1층 (오룡동)",충청남도 천안시 동남구 오룡동 8 1층 , 041- 551-1214
닭한마리칼국수보리밥,"충청남도 천안시 동남구 봉명로 106, 1층 (봉명동)",충청남도 천안시 동남구 봉명동 45-1 1층 ,
신전떡볶이신방통정점,"충청남도 천안시 동남구 통정4로 10, 1층 (신방동)",충청남도 천안시 동남구 신방동 1532 , 041- 579-5788
만리장성,"충청남도 천안시 동남구 풍세면 풍세산단4로 12-13, 1층",충청남도 천안시 동남구 풍세면 보성리 741 1층 , 041- 565-6300
맘스터치천안통정점,"충청남도 천안시 동남구 통정10로 33-12, 1층 (신방동)",충청남도 천안시 동남구 신방동 1536 1층 ,
천안장어가별관,"충청남도 천안시 동남구 풍세면 영성2길 3, 1층",충청남도 천안시 동남구 풍세면 보성리 392-3 1층 , 041- 566-9249
정,"충청남도 천안시 동남구 통정1로 6-13, 2층 (신방동)",충청남도 천안시 동남구 신방동 1227 2층 ,041 -578 -1227
히트커피,"충청남도 천안시 동남구 통정4로 67, 1층 (신방동)",충청남도 천안시 동남구 신방동 1756 1층 ,
호화반점,"충청남도 천안시 동남구 신촌3길 16, 1층 (신방동)",충청남도 천안시 동남구 신방동 785-32 외 1필지 1층 , 041- 592-5400
만땅주점,"충청남도 천안시 동남구 통정10로 69-8, 1층 (신방동)",충청남도 천안시 동남구 신방동 1868 1층 ,
장혁민의부대찌개신방점,"충청남도 천안시 동남구 통정12로 4, 1층 (신방동)",충청남도 천안시 동남구 신방동 1041 외 1필지 1층 ,
톰젤국물떡볶이천안신부점,"충청남도 천안시 동남구 터미널9길 36, 1층 (신부동)",충청남도 천안시 동남구 신부동 588 1층 ,
찌개전문점시골촌,"충청남도 천안시 동남구 풍세면 풍세산단로 303, 1층",충청남도 천안시 동남구 풍세면 보성리 768 1층 , 041- 622-5050
아리아리,"충청남도 천안시 동남구 명동길 55, 1층 (대흥동)",충청남도 천안시 동남구 대흥동 89-2 1층 ,
아임아시아이맛이야,"충청남도 천안시 동남구 공설시장3길 10, 1층 (대흥동)",충청남도 천안시 동남구 대흥동 63-57 ,070 -7733-7382
마당발,"충청남도 천안시 동남구 옛농고4길 11-4, 1층 (원성동)",충청남도 천안시 동남구 원성동 280-34 ,
조선생푸드,"충청남도 천안시 동남구 태조산길 83, 1층 (유량동)",충청남도 천안시 동남구 유량동 406-9 1층 , 041- 562-5252
엘피음악감상실아리랑,"충청남도 천안시 동남구 광덕면 죽계1길 7-1, 1층",충청남도 천안시 동남구 광덕면 광덕리 568-2 1층 , 041- 569-1252
명품손칼국수,"충청남도 천안시 동남구 통정5로 8, 1층 (신방동)",충청남도 천안시 동남구 신방동 2045 1층 ,
행복한가득,"충청남도 천안시 동남구 통정9로 27, 1층 (신방동)",충청남도 천안시 동남구 신방동 1450 1층 , 041- 577-2929
제이제이푸드팩토리,"충청남도 천안시 동남구 통정6로 18-36, 1층 (신방동)",충청남도 천안시 동남구 신방동 1768 1층 ,041 -577 -3838
꼭끼요,"충청남도 천안시 동남구 목천읍 교천지산길 342, 1층",충청남도 천안시 동남구 목천읍 지산리 118-1 1층 , 041- 555-0892
조선곰탕,"충청남도 천안시 동남구 통정12로 92, 1층 (신방동)",충청남도 천안시 동남구 신방동 1721 1층 ,
송벌,"충청남도 천안시 동남구 충절로 246-1, 1층 (구성동)",충청남도 천안시 동남구 구성동 480-2 ,041 -554 -1253
정든식당,"충청남도 천안시 동남구 문화로 34, 1층 (문화동)",충청남도 천안시 동남구 문화동 30-10 ,
장뜰순대,"충청남도 천안시 동남구 목천읍 교천지산길 101, 1층",충청남도 천안시 동남구 목천읍 교천리 129-5 1층 , 041- 572-2111
오늘통닭,"충청남도 천안시 동남구 먹거리5길 20, 1층 1,2호 (신부동)","충청남도 천안시 동남구 신부동 466-13 1층 1,2호 ", 041- 557-1977
투다리,"충청남도 천안시 동남구 통정12로 21, 1층 (신방동)",충청남도 천안시 동남구 신방동 1037 , 041- 575-2332
보스턴참치,"충청남도 천안시 동남구 통정12로 21, 1층 (신방동)",충청남도 천안시 동남구 신방동 1037 ,041 -575 -2317
목천삼뱅이보리밥,"충청남도 천안시 동남구 문화로 18, 1층 (문화동)",충청남도 천안시 동남구 문화동 52-1 , 041- 565-0879
유목정막국수,"충청남도 천안시 동남구 청수6로 35-84, 1층 (청당동)",충청남도 천안시 동남구 청당동 560 ,
본가,"충청남도 천안시 동남구 풍세로 839, 1층 (용곡동)",충청남도 천안시 동남구 용곡동 93-5 ,041 -568 -7071
양춘떡볶이,"충청남도 천안시 동남구 봉서11길 17, 1층 (봉명동)",충청남도 천안시 동남구 봉명동 429 1층 , 041- 578-4756
깻잎두마리치킨,"충청남도 천안시 동남구 풍세로 921-3, 1층 (다가동)",충청남도 천안시 동남구 다가동 50-15 ,
위드,"충청남도 천안시 동남구 통정10로 69-7, 1층 (신방동)",충청남도 천안시 동남구 신방동 1877 1층 ,
종로맥가천안신방통정점,"충청남도 천안시 동남구 통정10로 69-8, 1층 (신방동)",충청남도 천안시 동남구 신방동 1868 1층 ,041 -572 -7104
100세휴게소,"충청남도 천안시 동남구 옛시청길 1, 2층 (대흥동)",충청남도 천안시 동남구 대흥동 112-1 외 1필지 2층 ,041 -622 -9333
광닭발,"충청남도 천안시 동남구 청수15길 35-12, 1층 (청수동)",충청남도 천안시 동남구 청수동 335 1층 ,
브라더오뎅천안신부점,"충청남도 천안시 동남구 터미널4길 37, 1층 (신부동)",충청남도 천안시 동남구 신부동 643 1층 ,
청년대한사,"충청남도 천안시 동남구 충절로 287, 1층 (구성동)",충청남도 천안시 동남구 구성동 294-10 1층 ,041 -552 -5235
훌랄라치킨신계1호점,"충청남도 천안시 동남구 목천읍 신계1길 41, 생활편익시설동 1층 103호 (천안목천동우1차아파트)",충청남도 천안시 동남구 목천읍 신계리 422 천안목천동우1차아파트 생활편익시설동 1층 103호 ,041 -557 -0949
행복한밥상,"충청남도 천안시 동남구 풍세면 풍세산단로 4, 2동 1층",충청남도 천안시 동남구 풍세면 보성리 705 2동 1층 ,
카페헬로버거,"충청남도 천안시 동남구 청수15길 43-10, 1층 (청수동)",충청남도 천안시 동남구 청수동 338 1층 ,
김밥천국,"충청남도 천안시 동남구 터미널9길 14-1, 1층 (신부동)",충청남도 천안시 동남구 신부동 558 ,
피자나라치킨공주청당점,"충청남도 천안시 동남구 청수7로 6-36, 1층 (청당동)",충청남도 천안시 동남구 청당동 809 1층 , 041- 565-9333
제이케이락빌리어즈,"충청남도 천안시 동남구 고재1길 15, 3층 (원성동)",충청남도 천안시 동남구 원성동 583-1 3층 , 041- 551-3949
미술관천안청당점,"충청남도 천안시 동남구 청수14로 60, 1층 109, 110호 (청당동)","충청남도 천안시 동남구 청당동 488 109호, 110호 ",041 -554 -8400
돈부림,"충청남도 천안시 동남구 용곡5길 37-8, 1층 (용곡동)",충청남도 천안시 동남구 용곡동 465-5 ,
카페테라스,"충청남도 천안시 동남구 양지말1길 11-12, 3층 (유량동)",충청남도 천안시 동남구 유량동 61-5 3층 , 041- 566-7440
초마면,"충청남도 천안시 동남구 청수10길 4-106, 1층 (삼룡동)",충청남도 천안시 동남구 삼룡동 498 1층 ,
리얼푸드,"충청남도 천안시 동남구 통정4로 49, 1층 (신방동)",충청남도 천안시 동남구 신방동 1702 1층 ,041 -576 -3040
은행나무집칼국수,"충청남도 천안시 동남구 수신면 속창3길 3-2, 1층",충청남도 천안시 동남구 수신면 속창리 24-21 1층 ,041 -563 -2589
김영국어죽천하신방점,"충청남도 천안시 동남구 서부대로 181, 1동 1층 (신방동)",충청남도 천안시 동남구 신방동 107-1 1동 1층 ,
만강,"충청남도 천안시 동남구 청당2길 73, 1층 (청당동)","충청남도 천안시 동남구 청당동 283-29 외 1필지, 1층 ",041 -592 -0092
런앤플레이,"충청남도 천안시 동남구 통정1로 20, 2층 (신방동)",충청남도 천안시 동남구 신방동 1194 2층 ,041 -577 -1279
홍대칼국수와족발,"충청남도 천안시 동남구 서부대로 185, 1층 (신방동)",충청남도 천안시 동남구 신방동 106 1층 ,041 -576 -3900
자매곱창청당점,"충청남도 천안시 동남구 청수6로 35-12, 1층 (청당동)",충청남도 천안시 동남구 청당동 596 1층 ,041 -567 -9494
능이엔호박,"충청남도 천안시 동남구 신촌4로 34, 3층 (신방동)",충청남도 천안시 동남구 신방동 74-6 3층 ,
내맛통닭,"충청남도 천안시 동남구 충절로 42, 경남아너스빌아파트 102동 상가  1층 105호 (신부동)","충청남도 천안시 동남구 신부동 85 외 1필지, 경남아너스빌아파트 102동 상가  1층 105호 ",
블랙홀,"충청남도 천안시 동남구 통정12로 21, 3층 (신방동)",충청남도 천안시 동남구 신방동 1037 3층 ,041 -574 -2220
롤링스톤,"충청남도 천안시 동남구 대흥로 295, 지하1층 (성황동)",충청남도 천안시 동남구 성황동 50-11 지하1층 ,
박가네닭갈비청수점,"충청남도 천안시 동남구 청수로 78, 1층 (청수동)",충청남도 천안시 동남구 청수동 202-8 1층 ,041 -565 -5377
인생술집,"충청남도 천안시 동남구 일봉로 91, 1층 (용곡동)",충청남도 천안시 동남구 용곡동 236-15 1층 ,041 -575 -1739
짜우,"충청남도 천안시 동남구 문암로 63, 1층 (안서동)",충청남도 천안시 동남구 안서동 371-21 1층 ,041 -552 -0401
몽키펍스,"충청남도 천안시 동남구 청수6로 35-64, 1층 (청당동)",충청남도 천안시 동남구 청당동 576 1층 ,
크로앙쥬천안신부점,"충청남도 천안시 동남구 먹거리10길 17, 1층 101호 (신부동)",충청남도 천안시 동남구 신부동 460-7 1층 101호 ,041 -556 -8551
모아모아셀프밥상,"충청남도 천안시 동남구 통정6로 5-50, 1층 101호 (신방동)",충청남도 천안시 동남구 신방동 1841 1층 101호 ,041 -571 -0339
어시장,"충청남도 천안시 동남구 버들로 135, 1층 (원성동)",충청남도 천안시 동남구 원성동 493-2 1층 ,041 -556 -5353
신참떡볶이청수점,"충청남도 천안시 동남구 충절로 278, 1층 (구성동)",충청남도 천안시 동남구 구성동 309-2 1층 ,041 -579 -1999
올리브숲본점,"충청남도 천안시 동남구 터미널7길 29, 1층 (신부동)",충청남도 천안시 동남구 신부동 695 1층 ,
쌍용식당,"충청남도 천안시 동남구 중암샛길 19, 1층 (안서동)",충청남도 천안시 동남구 안서동 308-13 1층 ,
나베조,"충청남도 천안시 동남구 먹거리9길 9, 1층 (신부동)",충청남도 천안시 동남구 신부동 456-16 1층 ,070 -4090- 113
렛츠고김밥,"충청남도 천안시 동남구 봉서11길 17, 1층 (봉명동)",충청남도 천안시 동남구 봉명동 429 1층 ,041 -904 -0096
토담,"충청남도 천안시 동남구 개목4길 6, 1층 (봉명동)",충청남도 천안시 동남구 봉명동 377 1층 ,
카스광장,"충청남도 천안시 동남구 태조산길 171, 2층 (유량동)",충청남도 천안시 동남구 유량동 130-13 2층 ,041 -523 -0606
족발앤쌈,"충청남도 천안시 동남구 목천읍 삼성5길 46, 원앙마을 부영아파트 상가동 지하1층 B101호",충청남도 천안시 동남구 목천읍 삼성리 9-9 원앙마을 부영아파트 상가동 지하1층 B101호 ,041 -557 -8868
청당야식,"충청남도 천안시 동남구 청수7로 3-5, 1층 (청당동)",충청남도 천안시 동남구 청당동 767 1층 ,041 -551 -6670
맛드림,"충청남도 천안시 동남구 버들로 127, 1층 (원성동)","충청남도 천안시 동남구 원성동 503-4 외 1필지, 1층 ",
청당화로,"충청남도 천안시 동남구 청수12로 14, 1층 (청당동)",충청남도 천안시 동남구 청당동 896 1층 ,041 -563 -8833
컴포즈커피천안청당점,"충청남도 천안시 동남구 청수4로 16, 1층 102호 (청당동)",충청남도 천안시 동남구 청당동 492 1층 102호 ,041 -567 -3651
총각네칼국수,"충청남도 천안시 동남구 성남면 약수로 246, 1층",충청남도 천안시 동남구 성남면 석곡리 335-6 1층 ,041 -566 -3332
초원양꼬치,"충청남도 천안시 동남구 터미널4길 6, 1층 (신부동)",충청남도 천안시 동남구 신부동 797 1층 ,041 -621 -8885
김가네한식당,"충청남도 천안시 동남구 성남면 신사대화로 131, 1층",충청남도 천안시 동남구 성남면 신사리 419-10 1층 ,041 -555 -2528
뚜아에무아,"충청남도 천안시 동남구 북면 위례성로 1434-2, 1동, 2동 1층","충청남도 천안시 동남구 북면 운용리 79-1 1동, 2동 1층 ",041 -557 -3109
고미가,"충청남도 천안시 동남구 목천읍 성남로 19, 1층 105호",충청남도 천안시 동남구 목천읍 천정리 109-5 1층 105호,041 -555 -4666
자연정육점식당,"충청남도 천안시 동남구 병천면 아우내장터3길 12-2, 1층",충청남도 천안시 동남구 병천면 병천리 164-11 1층 ,041 -536 -1282
예원코다리,"충청남도 천안시 동남구 병천면 아우내순대길 60, 1층",충청남도 천안시 동남구 병천면 병천리 155-1 1층 ,041 -566 -3808
착한코다리,"충청남도 천안시 동남구 목천읍 목천안터1길 48, 1층",충청남도 천안시 동남구 목천읍 신계리 150 1층 ,041 -523 -2600
딥인사이드,"충청남도 천안시 동남구 문암4길 10-18, 2층 (안서동)",충청남도 천안시 동남구 안서동 379-37 2층 ,
맞춤푸드,"충청남도 천안시 동남구 풍세로 798, 1층 128호 (청당동)",충청남도 천안시 동남구 청당동 396-12 1층 128호 ,041 -592 -7880
드림푸드,"충청남도 천안시 동남구 통정8로 18, 1층 (신방동)","충청남도 천안시 동남구 신방동 1362 외 1필지, 1층 ",041 -592 -0504
다사랑칼국수,"충청남도 천안시 동남구 순천향3길 55-1, 1층 (봉명동)",충청남도 천안시 동남구 봉명동 23-45 1층 ,041 -555 -4102
나주곰탕,"충청남도 천안시 동남구 풍세면 풍세로 89, 1층",충청남도 천안시 동남구 풍세면 풍서리 676-57 1층 ,
송정원,"충청남도 천안시 동남구 병천면 송정리4길 32-1, 1층",충청남도 천안시 동남구 병천면 송정리 487 1층 ,
명랑푸드,"충청남도 천안시 동남구 서부대로 257-19, 1층 103호 (신방동)",충청남도 천안시 동남구 신방동 67-12 1층 103호,041 -592 -9220
통큰식당,"충청남도 천안시 동남구 충무로 18-3, 1층 (신방동)",충청남도 천안시 동남구 신방동 812-5 1층 ,041 -571 -1577
술타령,"충청남도 천안시 동남구 청수4로 16, 2층 206호 (청당동)",충청남도 천안시 동남구 청당동 492 2층 206호 ,041 -556 -9876
당진식당,"충청남도 천안시 동남구 동리길 2, 1층 (오룡동)",충청남도 천안시 동남구 오룡동 95-1 1층 ,
예쁜새댁튀김분식,"충청남도 천안시 동남구 고재1길 52, 1층 (원성동)",충청남도 천안시 동남구 원성동 543 1층 ,
소나기,"충청남도 천안시 동남구 중앙로 55, 2층 (영성동)",충청남도 천안시 동남구 영성동 6-5 ,
스시온,"충청남도 천안시 동남구 서부대로 257-13, 1층 106호 (신방동)","충청남도 천안시 동남구 신방동 62-53 외 1필지, 1층 106호 ",
오백국수,"충청남도 천안시 동남구 통정5로 61, 1동 1층 103호 (신방동)",충청남도 천안시 동남구 신방동 1543 1동 1층 103호 ,041 -571 -0242
천안마라탕,"충청남도 천안시 동남구 방죽안1길 1, 1층 (신부동)","충청남도 천안시 동남구 신부동 329-5 외 1필지, 1층 ",041 -566 -4002
더베리,"충청남도 천안시 동남구 해솔1길 25, 2층 (구성동)","충청남도 천안시 동남구 구성동 142 외 10필지, 2층 ",041 -552 -3800
중원,"충청남도 천안시 동남구 광덕면 광풍로 250-3, 1층",충청남도 천안시 동남구 광덕면 광덕리 403-3 1층 ,
호연지기,"충청남도 천안시 동남구 광덕면 상사길 9-2, 3동 1층",충청남도 천안시 동남구 광덕면 광덕리 650-12 3동 1층 ,041 -554 -8253
라비앙,"충청남도 천안시 동남구 먹거리8길 16-3, 1층 (신부동)",충청남도 천안시 동남구 신부동 372-63 1층 ,
남도밥상,"충청남도 천안시 동남구 공설시장1길 18-6, 1층 (대흥동)",충청남도 천안시 동남구 대흥동 10-8 1층 ,
플로르,"충청남도 천안시 동남구 각원사길 187-30, 1층 (안서동)","충청남도 천안시 동남구 안서동 176-1 외 2필지, 1층 ",
온더플라워,"충청남도 천안시 동남구 양지말1길 11-10, 2층, 3층 (유량동)","충청남도 천안시 동남구 유량동 61-7 2층,3층 ",041 -558 -6600
카페사랑방,"충청남도 천안시 동남구 고재5길 1, 지하1층, 1층 (원성동)","충청남도 천안시 동남구 원성동 639-8 지하1층, 1층 ",
무쏘신방통정지구점,"충청남도 천안시 동남구 서부대로 91, 1층 (신방동)",충청남도 천안시 동남구 신방동 469-4 1층 ,041 -579 -6692
카페봄날,"충청남도 천안시 동남구 천안천공원4길 12-1, 1층 (영성동)",충청남도 천안시 동남구 영성동 142-7 1층 ,
명품어죽매운탕,"충청남도 천안시 동남구 광덕면 해수길 20, 1동 1층","충청남도 천안시 동남구 광덕면 광덕리 563-1 외1필지, 1동 1층 ",041 -557 -0055
가장맛있는족발,"충청남도 천안시 동남구 청수3길 2, 1층 (청수동)","충청남도 천안시 동남구 청수동 216-102 외 2필지, 1층 ",041 -568 -5655
